n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.157;1000;49.43;49.43;4.42;4.48
10;50;0.2;0.4;0.107;1000;49.43;49.43;4.46;4.55
10;50;0.5;0;0.179;1000;29.55;29.55;4.23;4.43
10;50;0.5;0.4;0.149;1000;29.55;29.55;4.32;4.62
10;50;0.8;0;0.269;890;2.29;2.29;1.97;1.97
10;50;0.8;0.4;0.261;890;2.29;2.29;1.97;1.98
10;100;0.2;0;0.132;1000;98.56;98.56;4.87;4.98
10;100;0.2;0.4;0.075;1000;98.56;98.56;4.99;5.21
10;100;0.5;0;0.1;1000;54.59;54.59;4.86;5.32
10;100;0.5;0.4;0.107;1000;54.59;54.59;5.09;5.81
10;100;0.8;0;0.379;980;3.7;3.7;2.72;2.74
10;100;0.8;0.4;0.403;980;3.7;3.7;2.73;2.75
10;150;0.2;0;0.089;1000;147.47;147.47;5.17;5.35
10;150;0.2;0.4;0.056;1000;147.47;147.47;5.48;5.95
10;150;0.5;0;0.051;1000;78.28;78.28;5.55;6.3
10;150;0.5;0.4;0.06;1000;78.28;78.28;5.9;7.05
10;150;0.8;0;0.426;995;4.86;4.86;3.01;3.03
10;150;0.8;0.4;0.438;995;4.86;4.86;3.02;3.04
10;200;0.2;0;0.06;1000;196.35;196.35;5.42;5.7
10;200;0.2;0.4;0.059;1000;196.35;196.35;6.15;6.93
10;200;0.5;0;0.016;1000;101.42;101.42;6.33;7.27
10;200;0.5;0.4;0.043;1000;101.42;101.42;6.94;8.48
10;200;0.8;0;0.474;999;6.39;6.39;3.22;3.25
10;200;0.8;0.4;0.473;999;6.39;6.39;3.22;3.26
20;50;0.2;0;0.546;1000;49.99;49.99;5.04;5.05
20;50;0.2;0.4;0.455;1000;49.99;49.99;5.07;5.08
20;50;0.5;0;0.36;1000;43.06;43.06;5.16;5.25
20;50;0.5;0.4;0.284;1000;43.06;43.06;5.3;5.48
20;50;0.8;0;0.936;994;5.01;5.01;3.75;3.76
20;50;0.8;0.4;0.926;994;5.01;5.01;3.75;3.77
20;100;0.2;0;0.576;1000;100;100;5.46;5.48
20;100;0.2;0.4;0.308;1000;100;100;5.49;5.51
20;100;0.5;0;0.27;1000;81.86;81.86;5.75;5.98
20;100;0.5;0.4;0.157;1000;81.86;81.86;6.12;6.62
20;100;0.8;0;0.948;1000;8.76;8.76;4.13;4.16
20;100;0.8;0.4;0.896;1000;8.76;8.76;4.14;4.2
20;150;0.2;0;0.502;1000;149.99;149.99;5.72;5.74
20;150;0.2;0.4;0.168;1000;149.99;149.99;5.75;5.79
20;150;0.5;0;0.146;1000;118.39;118.39;6.23;6.64
20;150;0.5;0.4;0.078;1000;118.39;118.39;7.04;7.87
20;150;0.8;0;0.838;1000;12.25;12.25;4.34;4.39
20;150;0.8;0.4;0.778;1000;12.25;12.25;4.38;4.46
20;200;0.2;0;0.426;1000;199.99;199.99;5.9;5.93
20;200;0.2;0.4;0.117;1000;199.99;199.99;5.95;6
20;200;0.5;0;0.084;1000;154.1;154.1;6.75;7.3
20;200;0.5;0.4;0.064;1000;154.1;154.1;7.98;9.1
20;200;0.8;0;0.671;1000;15.79;15.79;4.53;4.62
20;200;0.8;0.4;0.648;1000;15.79;15.79;4.58;4.7
